pedido_id,fecha,producto,categoria,cantidad,precio_unit,metodo_pago
1001,2026-07-26 23:34:00,Pizza muzzarella,Pizzas,1,8500.0,mercadopago
1001,2026-07-26 23:34:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1002,2026-07-03 12:05:00,Ensalada Cesar,Platos,1,7200.0,transferencia
1002,2026-07-03 12:05:00,Gaseosa 500ml,Bebidas,1,1800.0,transferencia
1002,2026-07-03 12:05:00,Flan casero,Postres,1,3500.0,transferencia
1003,2026-06-17 21:03:00,Milanesa con papas,Platos,1,9500.0,mercadopago
1003,2026-06-17 21:03:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1003,2026-06-17 21:03:00,Flan casero,Postres,1,3500.0,mercadopago
1004,2026-08-18 21:11:00,Pizza muzzarella,Pizzas,1,8500.0,qr
1004,2026-08-18 21:11:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1005,2026-07-20 13:13:00,Milanesa con papas,Platos,1,9500.0,mercadopago
1005,2026-07-20 13:13:00,Flan casero,Postres,1,3500.0,mercadopago
1006,2026-07-27 21:50:00,Pizza napolitana,Pizzas,1,9800.0,mercadopago
1006,2026-07-27 21:50:00,Cerveza artesanal,Bebidas,1,3200.0,mercadopago
1007,2026-06-24 13:18:00,Pizza muzzarella,Pizzas,1,8500.0,mercadopago
1007,2026-06-24 13:18:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1007,2026-06-24 13:18:00,Helado 1/4,Postres,1,4200.0,mercadopago
1008,2026-07-24 13:04:00,Empanada de carne,Empanadas,1,1200.0,mercadopago
1008,2026-07-24 13:04:00,Empanada de pollo,Empanadas,1,1200.0,mercadopago
1008,2026-07-24 13:04:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1009,2026-07-04 22:30:00,Pizza muzzarella,Pizzas,1,8500.0,qr
1009,2026-07-04 22:30:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1009,2026-07-04 22:30:00,Helado 1/4,Postres,1,4200.0,qr
1010,2026-06-10 21:22:00,Empanada de carne,Empanadas,2,1200.0,mercadopago
1010,2026-06-10 21:22:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1011,2026-06-19 12:47:00,Milanesa con papas,Platos,1,9500.0,transferencia
1011,2026-06-19 12:47:00,Gaseosa 500ml,Bebidas,1,1800.0,transferencia
1012,2026-07-04 13:52:00,Ensalada Cesar,Platos,1,7200.0,mercadopago
1012,2026-07-04 13:52:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1013,2026-07-14 15:09:00,Pizza muzzarella,Pizzas,1,8500.0,qr
1013,2026-07-14 15:09:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1013,2026-07-14 15:09:00,Flan casero,Postres,1,3500.0,qr
1014,2026-09-04 20:09:00,Ensalada Cesar,Platos,1,7200.0,qr
1014,2026-09-04 20:09:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1015,2026-07-27 18:41:00,Empanada de carne,Empanadas,2,1200.0,transferencia
1015,2026-07-27 18:41:00,Gaseosa 500ml,Bebidas,1,1800.0,transferencia
1016,2026-06-10 21:30:00,Ensalada Cesar,Platos,1,7200.0,transferencia
1016,2026-06-10 21:30:00,Gaseosa 500ml,Bebidas,1,1800.0,transferencia
1016,2026-06-10 21:30:00,Flan casero,Postres,1,3500.0,transferencia
1017,2026-07-11 13:36:00,Pizza napolitana,Pizzas,1,9800.0,transferencia
1017,2026-07-11 13:36:00,Cerveza artesanal,Bebidas,1,3200.0,transferencia
1018,2026-06-19 14:40:00,Pizza napolitana,Pizzas,1,9800.0,qr
1018,2026-06-19 14:40:00,Cerveza artesanal,Bebidas,1,3200.0,qr
1018,2026-06-19 14:40:00,Flan casero,Postres,1,3500.0,qr
1019,2026-07-07 14:30:00,Milanesa con papas,Platos,1,9500.0,mercadopago
1019,2026-07-07 14:30:00,Flan casero,Postres,1,3500.0,mercadopago
1020,2026-07-24 21:01:00,Milanesa con papas,Platos,1,9500.0,qr
1020,2026-07-24 21:01:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1021,2026-08-18 21:41:00,Pizza muzzarella,Pizzas,1,8500.0,mercadopago
1021,2026-08-18 21:41:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1022,2026-07-21 18:49:00,Empanada de carne,Empanadas,1,1200.0,qr
1022,2026-07-21 18:49:00,Empanada de pollo,Empanadas,1,1200.0,qr
1022,2026-07-21 18:49:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1023,2026-08-12 21:12:00,Milanesa con papas,Platos,1,9500.0,mercadopago
1023,2026-08-12 21:12:00,Flan casero,Postres,1,3500.0,mercadopago
1024,2026-09-02 20:22:00,Milanesa con papas,Platos,1,9500.0,qr
1024,2026-09-02 20:22:00,Flan casero,Postres,1,3500.0,qr
1025,2026-07-23 15:30:00,Milanesa con papas,Platos,1,9500.0,mercadopago
1025,2026-07-23 15:30:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1026,2026-06-19 23:41:00,Pizza muzzarella,Pizzas,1,8500.0,mercadopago
1026,2026-06-19 23:41:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1027,2026-07-18 21:27:00,Empanada de carne,Empanadas,1,1200.0,mercadopago
1027,2026-07-18 21:27:00,Empanada de pollo,Empanadas,1,1200.0,mercadopago
1027,2026-07-18 21:27:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1027,2026-07-18 21:27:00,Helado 1/4,Postres,1,4200.0,mercadopago
1028,2026-08-26 20:37:00,Milanesa con papas,Platos,1,9500.0,mercadopago
1028,2026-08-26 20:37:00,Flan casero,Postres,1,3500.0,mercadopago
1029,2026-06-21 18:35:00,Pizza napolitana,Pizzas,1,9800.0,qr
1029,2026-06-21 18:35:00,Cerveza artesanal,Bebidas,1,3200.0,qr
1029,2026-06-21 18:35:00,Flan casero,Postres,1,3500.0,qr
1030,2026-08-19 22:01:00,Pizza napolitana,Pizzas,1,9800.0,qr
1030,2026-08-19 22:01:00,Cerveza artesanal,Bebidas,1,3200.0,qr
1030,2026-08-19 22:01:00,Flan casero,Postres,2,3500.0,qr
1031,2026-07-26 13:22:00,Milanesa con papas,Platos,1,9500.0,transferencia
1031,2026-07-26 13:22:00,Flan casero,Postres,1,3500.0,transferencia
1032,2026-07-01 21:09:00,Empanada de carne,Empanadas,2,1200.0,qr
1032,2026-07-01 21:09:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1033,2026-06-20 14:39:00,Pizza muzzarella,Pizzas,1,8500.0,mercadopago
1033,2026-06-20 14:39:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1034,2026-07-01 21:03:00,Milanesa con papas,Platos,1,9500.0,qr
1034,2026-07-01 21:03:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1034,2026-07-01 21:03:00,Flan casero,Postres,1,3500.0,qr
1035,2026-07-03 22:28:00,Empanada de carne,Empanadas,1,1200.0,qr
1035,2026-07-03 22:28:00,Empanada de pollo,Empanadas,1,1200.0,qr
1035,2026-07-03 22:28:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1036,2026-07-02 12:30:00,Milanesa con papas,Platos,1,9500.0,transferencia
1036,2026-07-02 12:30:00,Gaseosa 500ml,Bebidas,1,1800.0,transferencia
1037,2026-08-03 17:08:00,Ensalada Cesar,Platos,1,7200.0,mercadopago
1037,2026-08-03 17:08:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1037,2026-08-03 17:08:00,Helado 1/4,Postres,1,4200.0,mercadopago
1038,2026-06-12 12:07:00,Pizza napolitana,Pizzas,1,9800.0,qr
1038,2026-06-12 12:07:00,Cerveza artesanal,Bebidas,1,3200.0,qr
1039,2026-07-21 14:47:00,Pizza muzzarella,Pizzas,1,8500.0,mercadopago
1039,2026-07-21 14:47:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1040,2026-06-12 18:25:00,Empanada de carne,Empanadas,1,1200.0,mercadopago
1040,2026-06-12 18:25:00,Empanada de pollo,Empanadas,1,1200.0,mercadopago
1040,2026-06-12 18:25:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1041,2026-08-25 21:45:00,Empanada de carne,Empanadas,2,1200.0,qr
1041,2026-08-25 21:45:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1042,2026-07-30 22:14:00,Pizza muzzarella,Pizzas,1,8500.0,mercadopago
1042,2026-07-30 22:14:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1042,2026-07-30 22:14:00,Helado 1/4,Postres,1,4200.0,mercadopago
1043,2026-08-13 12:52:00,Pizza napolitana,Pizzas,1,9800.0,qr
1043,2026-08-13 12:52:00,Cerveza artesanal,Bebidas,1,3200.0,qr
1043,2026-08-13 12:52:00,Flan casero,Postres,1,3500.0,qr
1044,2026-07-02 20:51:00,Pizza napolitana,Pizzas,1,9800.0,mercadopago
1044,2026-07-02 20:51:00,Cerveza artesanal,Bebidas,1,3200.0,mercadopago
1045,2026-09-03 20:14:00,Pizza muzzarella,Pizzas,1,8500.0,mercadopago
1045,2026-09-03 20:14:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1046,2026-09-04 13:39:00,Pizza napolitana,Pizzas,1,9800.0,transferencia
1046,2026-09-04 13:39:00,Cerveza artesanal,Bebidas,1,3200.0,transferencia
1046,2026-09-04 13:39:00,Flan casero,Postres,1,3500.0,transferencia
1047,2026-08-16 12:19:00,Milanesa con papas,Platos,1,9500.0,qr
1047,2026-08-16 12:19:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1048,2026-08-14 14:00:00,Empanada de carne,Empanadas,2,1200.0,qr
1048,2026-08-14 14:00:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1049,2026-08-12 21:52:00,Ensalada Cesar,Platos,1,7200.0,qr
1049,2026-08-12 21:52:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1050,2026-07-17 15:21:00,Milanesa con papas,Platos,1,9500.0,qr
1050,2026-07-17 15:21:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1051,2026-06-16 14:08:00,Empanada de carne,Empanadas,2,1200.0,mercadopago
1051,2026-06-16 14:08:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1051,2026-06-16 14:08:00,Helado 1/4,Postres,1,4200.0,mercadopago
1052,2026-08-29 14:18:00,Milanesa con papas,Platos,1,9500.0,mercadopago
1052,2026-08-29 14:18:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1053,2026-08-13 13:35:00,Empanada de carne,Empanadas,1,1200.0,mercadopago
1053,2026-08-13 13:35:00,Empanada de pollo,Empanadas,1,1200.0,mercadopago
1053,2026-08-13 13:35:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1053,2026-08-13 13:35:00,Helado 1/4,Postres,1,4200.0,mercadopago
1054,2026-08-13 13:41:00,Milanesa con papas,Platos,1,9500.0,mercadopago
1054,2026-08-13 13:41:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1054,2026-08-13 13:41:00,Flan casero,Postres,1,3500.0,mercadopago
1055,2026-08-25 13:19:00,Milanesa con papas,Platos,1,9500.0,qr
1055,2026-08-25 13:19:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1055,2026-08-25 13:19:00,Flan casero,Postres,1,3500.0,qr
1056,2026-06-21 22:18:00,Pizza napolitana,Pizzas,1,9800.0,qr
1056,2026-06-21 22:18:00,Cerveza artesanal,Bebidas,1,3200.0,qr
1056,2026-06-21 22:18:00,Helado 1/4,Postres,1,4200.0,qr
1057,2026-07-03 13:52:00,Empanada de carne,Empanadas,2,1200.0,qr
1057,2026-07-03 13:52:00,Gaseosa 500ml,Bebidas,1,1800.0,qr
1058,2026-06-10 11:08:00,Empanada de carne,Empanadas,1,1200.0,mercadopago
1058,2026-06-10 11:08:00,Empanada de pollo,Empanadas,1,1200.0,mercadopago
1058,2026-06-10 11:08:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1059,2026-07-10 21:15:00,Milanesa con papas,Platos,1,9500.0,mercadopago
1059,2026-07-10 21:15:00,Flan casero,Postres,1,3500.0,mercadopago
1060,2026-08-28 21:33:00,Pizza muzzarella,Pizzas,1,8500.0,mercadopago
1060,2026-08-28 21:33:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1061,2026-08-27 15:47:00,Milanesa con papas,Platos,1,9500.0,mercadopago
1061,2026-08-27 15:47:00,Flan casero,Postres,1,3500.0,mercadopago
1062,2026-07-06 19:41:00,Milanesa con papas,Platos,1,9500.0,mercadopago
1062,2026-07-06 19:41:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1062,2026-07-06 19:41:00,Flan casero,Postres,1,3500.0,mercadopago
1063,2026-06-14 21:30:00,Empanada de carne,Empanadas,2,1200.0,transferencia
1063,2026-06-14 21:30:00,Gaseosa 500ml,Bebidas,1,1800.0,transferencia
1064,2026-08-24 20:18:00,Milanesa con papas,Platos,1,9500.0,qr
1064,2026-08-24 20:18:00,Flan casero,Postres,1,3500.0,qr
1065,2026-06-27 14:18:00,Milanesa con papas,Platos,1,9500.0,transferencia
1065,2026-06-27 14:18:00,Flan casero,Postres,1,3500.0,transferencia
1065,2026-06-27 14:18:00,Helado 1/4,Postres,1,4200.0,transferencia
1066,2026-07-18 14:05:00,Pizza napolitana,Pizzas,1,9800.0,mercadopago
1066,2026-07-18 14:05:00,Cerveza artesanal,Bebidas,1,3200.0,mercadopago
1067,2026-07-21 14:45:00,Empanada de carne,Empanadas,1,1200.0,mercadopago
1067,2026-07-21 14:45:00,Empanada de pollo,Empanadas,1,1200.0,mercadopago
1067,2026-07-21 14:45:00,Gaseosa 500ml,Bebidas,1,1800.0,mercadopago
1067,2026-07-21 14:45:00,Helado 1/4,Postres,1,4200.0,mercadopago
