pedido_id,fecha,producto,categoria,cantidad,precio_unit,metodo_pago
1001,2026-07-26 23:34,Pizza muzzarella,Pizzas,1,8500,mercadopago
1001,2026-07-26 23:34,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1002,2026-07-03 12:05,Ensalada Cesar,Platos,1,7200,transferencia
1002,2026-07-03 12:05,Gaseosa 500ml,Bebidas,1,1800,transferencia
1002,2026-07-03 12:05,Flan casero,Postres,1,3500,transferencia
1003,2026-06-17 21:03,Milanesa con papas,Platos,1,9500,mercadopago
1003,2026-06-17 21:03,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1003,2026-06-17 21:03,Flan casero,Postres,1,3500,mercadopago
1004,2026-08-18 21:11,Pizza muzzarella,Pizzas,1,8500,qr
1004,2026-08-18 21:11,Gaseosa 500ml,Bebidas,1,1800,qr
1005,2026-07-20 13:13,Milanesa con papas,Platos,1,9500,mercadopago
1005,2026-07-20 13:13,Flan casero,Postres,1,3500,mercadopago
1006,2026-07-27 21:50,Pizza napolitana,Pizzas,1,9800,mercadopago
1006,2026-07-27 21:50,Cerveza artesanal,Bebidas,1,3200,mercadopago
1007,2026-06-24 13:18,Pizza muzzarella,Pizzas,1,8500,mercadopago
1007,2026-06-24 13:18,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1007,2026-06-24 13:18,Helado 1/4,Postres,1,4200,mercadopago
1008,2026-07-24 13:04,Empanada de carne,Empanadas,1,1200,mercadopago
1008,2026-07-24 13:04,Empanada de pollo,Empanadas,1,1200,mercadopago
1008,2026-07-24 13:04,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1009,2026-07-04 22:30,Pizza muzzarella,Pizzas,1,8500,qr
1009,2026-07-04 22:30,Gaseosa 500ml,Bebidas,1,1800,qr
1009,2026-07-04 22:30,Helado 1/4,Postres,1,4200,qr
1010,2026-06-10 21:22,Empanada de carne,Empanadas,2,1200,mercadopago
1010,2026-06-10 21:22,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1011,2026-06-19 12:47,Milanesa con papas,Platos,1,9500,transferencia
1011,2026-06-19 12:47,Gaseosa 500ml,Bebidas,1,1800,transferencia
1012,2026-07-04 13:52,Ensalada Cesar,Platos,1,7200,mercadopago
1012,2026-07-04 13:52,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1013,2026-07-14 15:09,Pizza muzzarella,Pizzas,1,8500,qr
1013,2026-07-14 15:09,Gaseosa 500ml,Bebidas,1,1800,qr
1013,2026-07-14 15:09,Flan casero,Postres,1,3500,qr
1014,2026-09-04 20:09,Ensalada Cesar,Platos,1,7200,qr
1014,2026-09-04 20:09,Gaseosa 500ml,Bebidas,1,1800,qr
1015,2026-07-27 18:41,Empanada de carne,Empanadas,2,1200,transferencia
1015,2026-07-27 18:41,Gaseosa 500ml,Bebidas,1,1800,transferencia
1016,2026-06-10 21:30,Ensalada Cesar,Platos,1,7200,transferencia
1016,2026-06-10 21:30,Gaseosa 500ml,Bebidas,1,1800,transferencia
1016,2026-06-10 21:30,Flan casero,Postres,1,3500,transferencia
1017,2026-07-11 13:36,Pizza napolitana,Pizzas,1,9800,transferencia
1017,2026-07-11 13:36,Cerveza artesanal,Bebidas,1,3200,transferencia
1018,2026-06-19 14:40,Pizza napolitana,Pizzas,1,9800,qr
1018,2026-06-19 14:40,Cerveza artesanal,Bebidas,1,3200,qr
1018,2026-06-19 14:40,Flan casero,Postres,1,3500,qr
1019,2026-07-07 14:30,Milanesa con papas,Platos,1,9500,mercadopago
1019,2026-07-07 14:30,Flan casero,Postres,1,3500,mercadopago
1020,2026-07-24 21:01,Milanesa con papas,Platos,1,9500,qr
1020,2026-07-24 21:01,Gaseosa 500ml,Bebidas,1,1800,qr
1021,2026-08-18 21:41,Pizza muzzarella,Pizzas,1,8500,mercadopago
1021,2026-08-18 21:41,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1022,2026-07-21 18:49,Empanada de carne,Empanadas,1,1200,qr
1022,2026-07-21 18:49,Empanada de pollo,Empanadas,1,1200,qr
1022,2026-07-21 18:49,Gaseosa 500ml,Bebidas,1,1800,qr
1023,2026-08-12 21:12,Milanesa con papas,Platos,1,9500,mercadopago
1023,2026-08-12 21:12,Flan casero,Postres,1,3500,mercadopago
1024,2026-09-02 20:22,Milanesa con papas,Platos,1,9500,qr
1024,2026-09-02 20:22,Flan casero,Postres,1,3500,qr
1025,2026-07-23 15:30,Milanesa con papas,Platos,1,9500,mercadopago
1025,2026-07-23 15:30,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1026,2026-06-19 23:41,Pizza muzzarella,Pizzas,1,8500,mercadopago
1026,2026-06-19 23:41,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1027,2026-07-18 21:27,Empanada de carne,Empanadas,1,1200,mercadopago
1027,2026-07-18 21:27,Empanada de pollo,Empanadas,1,1200,mercadopago
1027,2026-07-18 21:27,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1027,2026-07-18 21:27,Helado 1/4,Postres,1,4200,mercadopago
1028,2026-08-26 20:37,Milanesa con papas,Platos,1,9500,mercadopago
1028,2026-08-26 20:37,Flan casero,Postres,1,3500,mercadopago
1029,2026-06-21 18:35,Pizza napolitana,Pizzas,1,9800,qr
1029,2026-06-21 18:35,Cerveza artesanal,Bebidas,1,3200,qr
1029,2026-06-21 18:35,Flan casero,Postres,1,3500,qr
1030,2026-08-19 22:01,Pizza napolitana,Pizzas,1,9800,qr
1030,2026-08-19 22:01,Cerveza artesanal,Bebidas,1,3200,qr
1030,2026-08-19 22:01,Flan casero,Postres,2,3500,qr
1031,2026-07-26 13:22,Milanesa con papas,Platos,1,9500,transferencia
1031,2026-07-26 13:22,Flan casero,Postres,1,3500,transferencia
1032,2026-07-01 21:09,Empanada de carne,Empanadas,2,,qr
1032,2026-07-01 21:09,Gaseosa 500ml,Bebidas,1,1800,qr
1033,2026-06-20 14:39,Pizza muzzarella,Pizzas,1,8500,mercadopago
1033,2026-06-20 14:39,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1034,2026-07-01 21:03,Milanesa con papas,Platos,1,9500,qr
1034,2026-07-01 21:03,Gaseosa 500ml,Bebidas,1,1800,qr
1034,2026-07-01 21:03,Flan casero,Postres,1,3500,qr
1035,2026-07-03 22:28,  Empanada de carne ,Empanadas,1,1200,qr
1035,2026-07-03 22:28,Empanada de pollo,Empanadas,1,1200,qr
1035,2026-07-03 22:28,Gaseosa 500ml,Bebidas,1,1800,qr
1036,2026-07-02 12:30,Milanesa con papas,Platos,1,9500,transferencia
1036,2026-07-02 12:30,Gaseosa 500ml,Bebidas,1,1800,transferencia
1037,2026-08-03 17:08,Ensalada Cesar,Platos,1,7200,mercadopago
1037,2026-08-03 17:08,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1037,2026-08-03 17:08,Helado 1/4,Postres,1,4200,mercadopago
1038,2026-06-12 12:07,Pizza napolitana,Pizzas,1,9800,qr
1038,2026-06-12 12:07,Cerveza artesanal,Bebidas,1,3200,qr
1039,2026-07-21 14:47,Pizza muzzarella,Pizzas,1,8500,mercadopago
1039,2026-07-21 14:47,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1040,2026-06-12 18:25,Empanada de carne,Empanadas,1,1200,mercadopago
1040,2026-06-12 18:25,Empanada de pollo,Empanadas,1,1200,mercadopago
1040,2026-06-12 18:25,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1041,2026-08-25 21:45,Empanada de carne,EMPANADAS,2,1200,qr
1041,2026-08-25 21:45,Gaseosa 500ml,Bebidas,1,1800,qr
1042,2026-07-30 22:14,Pizza muzzarella,Pizzas,1,8500,mercadopago
1042,2026-07-30 22:14,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1042,2026-07-30 22:14,Helado 1/4,Postres,1,4200,mercadopago
1043,2026-08-13 12:52,Pizza napolitana,Pizzas,1,9800,qr
1043,2026-08-13 12:52,Cerveza artesanal,Bebidas,1,3200,qr
1043,2026-08-13 12:52,Flan casero,Postres,1,3500,qr
1044,2026-07-02 20:51,Pizza napolitana,Pizzas,1,9800,mercadopago
1044,2026-07-02 20:51,Cerveza artesanal,Bebidas,1,3200,mercadopago
1045,2026-09-03 20:14,Pizza muzzarella,Pizzas,1,8500,mercadopago
1045,2026-09-03 20:14,Gaseosa 500ml,Bebidas,1,1800,mercadopago
1046,2026-09-04 13:39,Pizza napolitana,Pizzas,1,9800,transferencia
1046,2026-09-04 13:39,Cerveza artesanal,Bebidas,1,3200,transferencia
1046,2026-09-04 13:39,Flan casero,Postres,1,3500,transferencia
1047,2026-08-16 12:19,Milanesa con papas,Platos,1,9500,qr
1047,2026-08-16 12:19,Gaseosa 500ml,Bebidas,1,1800,qr
1048,2026-08-14 14:00,Empanada de carne,EMPANADAS,2,1200,qr
1048,2026-08-14 14:00,  Gaseosa 500ml ,Bebidas,1,1800,qr
1049,2026-08-12 21:52,Ensalada Cesar,Platos,1,7200,qr
1049,2026-08-12 21:52,Gaseosa 500ml,Bebidas,1,1800,qr
